id,course,layout,number,distance,par
1,1,1,1,208,3
2,1,1,2,369,3
3,1,1,3,292,3
4,1,1,4,206,3
5,1,1,5,317,3
6,1,1,6,327,3
7,1,1,7,301,3
8,1,1,8,273,3
9,1,1,9,324,3
10,1,1,10,464,3
11,1,1,11,295,3
12,1,1,12,335,3
13,1,1,13,409,4
14,1,1,14,264,3
15,1,1,15,326,3
16,1,1,16,311,3
17,1,1,17,315,3
18,1,1,18,472,4
19,1,2,1,208,3
20,1,2,2,366,3
21,1,2,3,292,3
22,1,2,4,206,3
23,1,2,5,317,3
24,1,2,6,251,3
25,1,2,7,254,3
26,1,2,8,273,3
27,1,2,9,313,3
28,1,2,10,367,3
29,1,2,11,295,3
30,1,2,12,335,3
31,1,2,13,409,4
32,1,2,14,264,3
33,1,2,15,326,3
34,1,2,16,306,3
35,1,2,17,263,3
36,1,2,18,322,3
37,1,3,1,208,3
38,1,3,2,366,3
39,1,3,3,292,3
40,1,3,4,206,3
41,1,3,5,317,3
42,1,3,6,251,3
43,1,3,7,301,3
44,1,3,8,273,3
45,1,3,9,313,3
46,1,3,10,367,3
47,1,3,11,295,3
48,1,3,12,335,3
49,1,3,13,409,4
50,1,3,14,264,3
51,1,3,15,326,3
52,1,3,16,306,3
53,1,3,17,263,3
54,1,3,18,472,3
55,2,4,1,288,3
56,2,4,2,297,3
57,2,4,3,295,3
58,2,4,4,309,3
59,2,4,5,260,3
60,2,4,6,210,3
61,2,4,7,293,3
62,2,4,8,355,3
63,2,4,9,252,3
64,2,4,10,404,3
65,2,4,11,385,3
66,2,4,12,262,3
67,2,4,13,339,3
68,2,4,14,343,3
69,2,4,15,290,3
70,2,4,16,218,3
71,2,4,17,336,3
72,2,4,18,367,3
73,2,5,1,189,3
74,2,5,2,175,3
75,2,5,3,229,3
76,2,5,4,202,3
77,2,5,5,187,3
78,2,5,6,121,3
79,2,5,7,173,3
80,2,5,8,232,3
81,2,5,9,174,3
82,2,5,10,337,3
83,2,5,11,304,3
84,2,5,12,143,3
85,2,5,13,237,3
86,2,5,14,253,3
87,2,5,15,217,3
88,2,5,16,166,3
89,2,5,17,205,3
90,2,5,18,310,3
91,2,6,1,206,3
92,2,6,2,412,3
93,2,6,3,413,3
94,2,6,4,292,3
95,2,6,5,383,3
96,2,6,6,266,3
97,2,6,7,258,3
98,2,6,8,347,3
99,2,6,9,392,3
100,2,6,10,408,3
101,2,6,11,292,3
102,2,6,12,199,3
103,2,6,13,263,3
104,2,6,14,245,3
105,2,6,15,250,3
106,2,6,16,357,3
107,2,6,17,270,3
108,2,6,18,344,3
109,2,7,1,530,4
110,2,7,2,589,4
111,2,7,3,512,4
112,2,7,4,531,4
113,2,7,5,368,3
114,2,7,6,573,4
115,2,7,7,551,4
116,2,7,8,517,4
117,2,7,9,693,4
118,2,7,10,910,5
119,2,7,11,394,3
120,2,7,12,617,4
121,2,7,13,648,4
122,2,7,14,545,4
123,2,7,15,666,4
124,2,7,16,659,4
125,2,7,17,541,4
126,2,7,18,860,5
127,3,8,1,197,3
128,3,8,2,259,3
129,3,8,3,198,3
130,3,8,4,224,3
131,3,8,5,241,3
132,3,8,6,148,3
133,3,8,7,212,3
134,3,8,8,296,3
135,3,8,9,210,3
136,3,8,10,255,3
137,3,8,11,201,3
138,3,8,12,283,3
139,3,8,13,291,3
140,3,8,14,251,3
141,3,8,15,190,3
142,3,8,16,181,3
143,3,8,17,218,3
144,3,8,18,253,3
145,4,9,1,295,3
146,4,9,2,300,3
147,4,9,3,445,4
148,4,9,4,661,5
149,4,9,5,230,3
150,4,9,6,232,3
151,4,9,7,253,3
152,4,9,8,288,3
153,4,9,9,720,4
154,4,9,10,300,3
155,4,9,11,280,3
156,4,9,12,546,4
157,4,9,13,265,3
158,4,9,14,230,3
159,4,9,15,265,3
160,4,9,16,839,5
161,4,9,17,285,3
162,4,9,18,307,3
163,4,9,19,508,4
164,4,9,20,530,4
165,4,9,21,241,3
166,4,9,22,672,5
167,4,10,1,305,3
168,4,10,2,354,3
169,4,10,3,515,4
170,4,10,4,811,5
171,4,10,5,320,3
172,4,10,6,314,3
173,4,10,7,333,3
174,4,10,8,318,3
175,4,10,9,790,4
176,4,10,10,300,3
177,4,10,11,330,3
178,4,10,12,666,4
179,4,10,13,320,3
180,4,10,14,230,3
181,4,10,15,285,3
182,4,10,16,939,5
183,4,10,17,315,3
184,4,10,18,365,3
185,4,10,19,639,4
186,4,10,20,610,4
187,4,10,21,295,3
188,4,10,22,846,5
189,4,11,1,305,3
190,4,11,2,300,3
191,4,11,3,445,4
192,4,11,4,661,5
193,4,11,5,320,3
194,4,11,6,314,3
195,4,11,7,333,3
196,4,11,8,288,3
197,4,11,9,720,4
198,4,11,10,300,3
199,4,11,11,280,3
200,4,11,12,546,4
201,4,11,13,320,3
202,4,11,14,230,3
203,4,11,15,285,3
204,4,11,16,839,5
205,4,11,17,285,3
206,4,11,18,307,3
207,4,11,19,508,4
208,4,11,20,610,4
209,4,11,21,295,3
210,4,11,22,672,5
211,4,12,1,295,3
212,4,12,2,300,3
213,4,12,3,445,4
214,4,12,6,232,3
215,4,12,7,253,3
216,4,12,8,288,3
217,4,12,9,720,4
218,4,12,10,300,3
219,4,12,11,280,3
220,4,12,12,546,4
221,4,12,13,265,3
222,4,12,16,839,5
223,4,12,17,285,3
224,4,12,18,307,3
225,4,12,19,508,4
226,4,12,20,530,4
227,4,12,21,241,3
228,4,12,22,672,5
229,4,13,1,305,3
230,4,13,2,177,3
231,4,13,3,445,4
232,4,13,4,661,5
233,4,13,5,230,3
234,4,13,6,314,3
235,4,13,7,153,3
236,4,13,8,288,3
237,4,13,9,461,4
238,4,13,10,300,3
239,4,13,11,280,3
240,4,13,12,546,4
241,4,13,13,320,3
242,4,13,14,230,3
243,4,13,15,290,3
244,4,13,16,939,5
245,4,13,17,285,3
246,4,13,18,307,3
247,4,13,19,639,4
248,4,13,20,610,4
249,4,13,21,295,3
250,4,13,22,672,5
251,4,14,1,295,3
252,4,14,2,300,3
253,4,14,3,445,4
254,4,14,4,661,5
255,4,14,5,230,3
256,4,14,6,214,3
257,4,14,7,250,3
258,4,14,8,253,3
259,4,14,9,720,4
260,4,14,10,485,4
261,4,14,12,540,4
262,4,14,13,510,4
263,4,14,15,235,3
264,4,14,16,839,5
265,4,14,17,570,4
266,4,14,19,508,4
267,4,14,20,530,4
268,4,14,21,242,3
269,4,14,22,672,5
270,4,15,1,305,3
271,4,15,2,362,3
272,4,15,3,485,4
273,4,15,4,760,5
274,4,15,5,318,3
275,4,15,6,301,3
276,4,15,7,341,3
277,4,15,8,282,3
278,4,15,9,718,4
279,4,15,10,624,4
280,4,15,12,525,4
281,4,15,13,505,4
282,4,15,15,255,3
283,4,15,16,930,5
284,4,15,17,571,4
285,4,15,19,584,4
286,4,15,20,546,4
287,4,15,21,291,3
288,4,15,22,774,5
289,5,16,1,282,3
290,5,16,2,267,3
291,5,16,3,369,3
292,5,16,4,401,3
293,5,16,5,272,3
294,5,16,6,212,3
295,5,16,7,184,3
296,5,16,8,286,3
297,5,16,9,219,3
298,5,16,10,264,3
299,5,16,11,205,3
300,5,16,12,291,3
301,5,16,13,349,3
302,5,16,14,269,3
303,5,16,15,398,3
304,5,16,16,238,3
305,5,16,17,271,3
306,5,16,18,261,3
307,5,17,1,364,3
