id,course,name,par,distance
1,1,Blue Tees to Long Baskets,56,5843
2,1,Cedar Doubles Layout (REC),55,5366
3,1,Blue Tees to Short Baskets,56,5563
4,4,Diavolo White,77,8691
5,4,Diavolo Blue,77,10,200
6,4,Diavolo Tutte Le Stelle,77,9163
7,4,Diavolo Diciotti White,63,7306
8,4,Preferito del Giocatore,77,8747
9,4,Diavolo White Fusion,71,8500
10,4,Diavolo Blue Fusion,71,9456
11,2,Blue tees,54,5502
12,2,Red tees,54,3854
13,2,Black tees,54,5600
14,2,Safari,72,10704
15,3,Main,54,4107
16,5,White Tees,57,5037
17,5,Blue Tees,57,5917
18,5,All-Star,57,5262
19,5,Red Tees,55,3647
20,7,Long Tees,57,5924
21,7,Short Tees,56,5545
22,6,Short Tees,54,3800
23,6,Short Tees - 19,57,4090
24,6,Long Tees,54,4886
25,6,Long Tees - 19,57,5176
26,9,White Tees,57,4756
27,9,Blue Tees,61,5909
28,9,All-Star,55,4926
29,10,Main,57,4714
30,11,White Tees,55,5313
31,11,Blue Tees,59,6718
32,11,All-Star,58,6122
33,8,White Tees,59,5340
34,8,Blue Tees,59,6486
35,8,All-Star,59,5829
